fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	parametro	iteracion
20220907 202635	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	165	TRUE	0.183654090579512	0.488781901041511	1276	819	0.789304531494892	1
20220907 202647	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1578	TRUE	0.132930184299621	0.788137807277963	2297	597	0.773769089054348	2
20220907 202649	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	55	TRUE	0.226125925454835	0.620968131232075	755	240	0.792443753265012	3
20220907 202652	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	129	TRUE	0.248511191137368	0.53947914512828	1147	856	0.788421747490196	4
20220907 202656	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	413	TRUE	0.169879227313359	0.263879350956995	1588	118	0.781457460436057	5
20220907 202657	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1	TRUE	0.0585520744844689	0.676309678854886	3972	491	0.5	6
20220907 202702	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	507	TRUE	0.139607279939082	0.728969520539977	2112	139	0.775926796047726	7
20220907 202702	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1	TRUE	0.104610141718586	0.210460971214343	3488	330	0.5	8
20220907 202707	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	520	TRUE	0.242903860580991	0.368153417890426	2936	1015	0.757197566126396	9
20220907 202712	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	108	TRUE	0.0817529732512776	0.321552084863652	368	29	0.798175128168338	10
20220907 202715	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	234	TRUE	0.200645410689322	0.85631178568583	1862	723	0.778510143948555	11
20220907 202743	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	3919	TRUE	0.0235217465662572	0.966328263457399	2730	686	0.757900757951925	12
20220907 202743	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1	TRUE	0.267006921528664	0.927182154275943	3648	312	0.5	13
20220907 202756	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	135	TRUE	0.0405981988245912	0.836889971548226	149	547	0.796118911046367	14
20220907 202758	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	49	TRUE	0.287274433142884	0.434029281220865	738	421	0.790682783225692	15
20220907 202809	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1338	TRUE	0.0983474591797858	0.560389340831898	3109	922	0.756079814947466	16
20220907 202927	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	9999	TRUE	0.0100554321874261	0.67506874109368	2328	1024	0.770486084525591	17
20220907 202956	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	1863	TRUE	0.0100972146899825	0.636615903068069	955	454	0.790905905935086	18
20220907 203001	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	108	TRUE	0.119686454589107	0.23593396003895	367	742	0.79487974635406	19
20220907 203134	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	238	TRUE	0.124181917869829	0.374365916540866	0	321	0.787693627003461	20
20220907 203139	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	416	TRUE	0.0807612464563711	0.998713726645987	1307	10	0.788285259122285	21
20220907 203142	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	68	TRUE	0.139815081380975	0.654926928612404	511	589	0.796233606953073	22
20220907 203209	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	636	TRUE	0.0102774752229998	0.999437554685361	318	114	0.796362402935718	23
20220907 203238	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	874	TRUE	0.0101581776595956	0.47376976004876	388	281	0.798092921231571	24
20220907 203245	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	10	TRUE	0.299875068449293	0.772020124275414	60	1024	0.776005844177612	25
20220907 203302	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	955	TRUE	0.0150964431050819	0.555045456677247	734	10	0.79444601980119	26
20220907 203306	binary	auc	TRUE	TRUE	FALSE	-100	455531	-1	0	0	0	31	136	TRUE	0.0642358856114546	0.693039481606311	221	10	0.796426675418739	27
