Feature	Gain	Cover	Frequency
edad	0.152011741491581	0.11623172935298	0.0731827414291869
saturacion	0.12298096991506	0.0721246195595499	0.0597648796700929
ldh	0.0770550384440129	0.0789453699298483	0.0667200098479719
severidad_ins	0.0707886702349051	0.0416748109288279	0.0184649473749
frecuencia_respiratoria	0.0408985382433785	0.0465284791940746	0.045116021419339
progr_imagerad_perc	0.0400240570327469	0.0410055976366755	0.038222441066043
codigo_paciente	0.0394915252328127	0.0598214246357001	0.061180525635502
diassintomainternacion	0.033067806322639	0.0362989638727273	0.041423031944359
vni	0.0309720310680526	0.0169022247940345	0.012802363513264
frecuencia_cardiaca	0.0297841115894926	0.0392322468218357	0.050286206684311
imc	0.0257680939252403	0.0349578602742305	0.044992921770173
fini_sintomas	0.0239667198526534	0.0234907190232674	0.042592478611436
temperatura	0.022296574824813	0.0433280785356257	0.045300670893088
finternacion	0.0206496035806693	0.0230255626474962	0.034775650889395
fdiag_covid	0.0202780075528562	0.0253509620957535	0.034283252292731
diastestinternacion	0.0201738308296458	0.0287504078169459	0.032067458607743
peso	0.0199716597296414	0.0362129773717626	0.038222441066043
altura	0.0198005530475141	0.0400501853610921	0.042346279313104
hipertension	0.0183700838461423	0.00971476373528178	0.016126054040746
sat_aire_ambiente	0.0172773392799088	0.0313522844602527	0.016864651935742
uti	0.0172067650207239	0.0132918182777552	0.00923247368744999
antibioticos	0.0144553533445024	0.014193670141572	0.016987751584908
progr_image_rad	0.0138989081676483	0.00651683881176237	0.00941712316119899
diastestsintoma	0.0126064836586745	0.0121931152951568	0.023942881762787
obesidad	0.0122921399746843	0.0121866944866812	0.013787160706592
diabetes	0.0109115984341687	0.00647459029455147	0.011817566319936
oxigeno_supl	0.00932017238080589	0.00436139957280892	0.00664738105496399
enf_coronaria	0.00803200266978825	0.00794672669297346	0.00781682772204099
metodo_diag	0.00779914184837129	0.0166813208033772	0.015633655444082
sexo	0.00731087767116573	0.00676139311577018	0.010032621407029
otra_medicacion	0.00578943195710554	0.00351210172444599	0.00935557333661599
embarazo	0.00520276203843773	0.00653579931829532	0.00793992737120699
enf_otras	0.00468823862828573	0.00332664301192517	0.00763217824829199
enf_pulmonr	0.00462872016947607	0.0051721121865395	0.00633963193204899
heparina	0.0041725497436662	0.00400215634499564	0.00640118175663199
cancer	0.00350889200206839	0.0018519906227212	0.002523542807903
corticoides	0.00277194296661443	0.0051597737677447	0.004000738597895
enf_renal	0.00240526414638412	0.0117681745160446	0.00553948421246999
plasma_conv	0.00229869885413965	0.0039201350455033	0.003877638948729
enf_hepatica	0.00218668284769088	0.0010523483684313	0.001292546316243
ig_total	0.00149670114285078	0.00551617895795592	0.003262140702899
antic_monoclonales	0.0011899409059409	0.000853987655180525	0.000923247368744999
igm	7.85279093035505e-05	0.00036681132808546	0.000246199298332
metodo_otro	7.41976043752204e-05	0.00121411651174906	0.000492398596664
igg	4.70498693615723e-05	0.000140835100011741	0.000123099649166
